INVALID,TK_MINUS,TK_NE,TK_RECORDID,TK_COMMENT,TK_AND,TK_OP,TK_CL,TK_MUL,TK_DOT,TK_DIV,TK_COLON,TK_SEM,TK_OR,TK_SQL,TK_NUM,TK_RNUM,TK_FIELDID,TK_ID,TK_SQR,TK_FUNID,TK_MAIN,TK_NOT,TK_PLUS,TK_LT,TK_ASSIGNOP,TK_EQ,TK_GT,TK_LE,TK_CALL,TK_ELSE,TK_END,TK_ENDIF,TK_ENDRECORD,TK_ENDWHILE,TK_GLOBAL,TK_IF,TK_INPUT,TK_INT,TK_LIST,TK_OUTPUT,TK_PARAMETER,TK_PARAMETERS,TK_READ,TK_REAL,TK_RECORD,TK_RETURN,TK_THEN,TK_TYPE,TK_WHILE,TK_WITH,TK_WRITE,TK_GE,TK_COMMA,INVALID,INVALID,eps,
program, , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
mainfunction, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
otherfunctions, , , , , , , , , , , , , , , , , , , ,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
function, , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
input_par, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , ,
output_par, , , , , , , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , ,
constructeddatatype, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , , , , ,
remaining_list, , , , , , , , , , , , , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15, , , ,
parameter_list, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,9,9, , , , , , , , , , , ,
stmts, , ,17, , , , , , , , , , ,17, , , ,17, , , , , , , , , , ,17, , , , , , ,17, , , , , , ,17, ,17,17, ,17,17, ,17, , , , , ,
typedefinitions, , ,19, , , , , , , , , , ,19, , , ,19, , , , , , , , , , ,19, , , , , , ,19, , , , , , ,19, ,18,19, ,19,19, ,19, , , , , ,
typedefinition, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , , , , , , , , , , ,
fielddefinitions, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , ,
primitivedatatype, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , ,13, , , , , , , , , , , , ,
fielddefinition, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22, , , , , , , , ,
morefields, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24, , , , , , , , , , , , , , ,23, , , , , , , , ,
declarations, , ,26, , , , , , , , , , ,26, , , ,26, , , , , , , , , , ,26, , , , , , ,26, , , , , , ,26, , ,26, ,25,26, ,26, , , , , ,
declaration, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27, , , , , , , , ,
datatype, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,10,11, , , , , , , , , , , ,
global_or_not, , , , , , , , , , ,28,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
assignmentstmt, , ,37, , , , , , , , , , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
funcallstmt, , , , , , , , , , , , , ,40, , , , , , , , , , , , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
